Name,RA,Dec,Kdmag
HD 9852,01 37 51.2,+61 51 42,3.33
HD 10307,01 41 47.1,+42 36 48,3.94
HD 16232,02 36 57.7,+24 38 53,4.03
HD 100006,11 30 29.0,+18 24 35,4.27
HD 102870,11 50 41.8,+01 45 53,4.73
HD 6903,01 09 49.2,+19 39 30,4.76
HD 45977,06 30 07.3,-11 48 32,4.9
HD 21018,03 23 39.0,+04 52 56,4.92
HD 220657,23 25 22.8,+23 24 15,4.96
HD 219623,23 16 42.2,+53 12 49,4.97
HD 114960,13 13 57.6,+01 27 23,4.98
HD 108519,12 27 46.3,+27 25 22,5.2
HD 182694,19 23 56.4,+43 23 18,5.25
Gl 273,07 27 24.5,+05 13 33,5.26
HD 114946,13 14 10.8,-19 55 51,5.33
HD 221246,23 30 07.4,+49 08 00,5.43
HD 2901,00 32 47.5,+54 07 12,5.5
HD 165438,18 06 15.1,-04 45 04,5.63
HD 165908,18 07 01.7,+30 33 44,5.65
HD 164349,18 00 03.4,+16 45 03,5.66
HD 160365,17 38 57.8,+13 19 45,5.72
HD 91810,10 37 20.6,+56 25 53,5.74
HD 132935,15 02 04.3,-08 20 41,5.8
HD 179870,19 13 53.5,+09 02 00,5.88
HD 115617,13 18 24.2,-18 18 40,5.89
HD 237903,10 30 25.2,+55 59 57,5.91
HD 6130,01 03 37.0,+61 04 29,5.97
HD 202314,21 14 10.3,+29 54 04,5.97
HD 193896,20 23 00.7,-09 39 17,5.99
HD 27524,04 21 31.7,+21 02 24,6.08
HD 19305,03 06 26.7,+01 57 55,6.14
HD 17918,02 53 11.7,+16 29 01,6.17
HD 219477,23 15 46.3,+28 14 52,6.2
HD 75555,08 52 21.8,+44 53 51,6.26
HD 209290,22 02 10.3,+01 24 01,6.33
HD 10697,01 44 55.8,+20 05 00,6.35
HD 58367,07 25 38.9,+09 16 34,6.38
HD 36003,05 28 26.1,-03 29 58,6.51
HD 104979,12 05 12.5,+08 43 59,6.59
HD 218804,23 10 27.4,+43 32 38,6.67
HD 216219,22 50 52.1,+18 00 08,6.69
HD 20618,03 19 55.8,+27 04 16,6.7
HD 3421,00 37 21.2,+35 23 58,6.93
HD 176051,18 57 01.7,+32 54 05,7.15
HD 16068,02 36 52.8,+55 54 55,7.27
HD 222093,23 37 39.6,-13 03 37,7.31
HD 145675,16 10 24.2,+43 49 03,7.49
HD 18474,02 59 49.8,+47 13 15,7.66
HD 25975,04 08 15.4,+37 43 39,7.67
HD 27277,04 20 53.5,+50 16 18,7.73
HD 16139,02 36 18.0,+27 28 20,7.86
HD 213893,22 34 36.0,+00 35 43,7.95
